sample_id,variant_id,gene,nominal_vaf,measured_vaf,depth,site,run_id,operator,replicate,detected,qc_flag
S00001,VAR1,EGFR,0,0.0218561713737482,1006,SiteA,SiteA_Run01,Operator1,1,0,1
S00002,VAR1,EGFR,0,0.02808911853078983,715,SiteA,SiteA_Run01,Operator2,2,0,0
S00003,VAR1,EGFR,0,0.02536949487633371,854,SiteA,SiteA_Run01,Operator1,3,0,1
S00004,VAR1,EGFR,0,0.07959438048303127,895,SiteA,SiteA_Run02,Operator1,1,0,0
S00005,VAR1,EGFR,0,0.029856501049465606,861,SiteA,SiteA_Run02,Operator2,2,0,1
S00006,VAR1,EGFR,0,0.1283525307569653,784,SiteA,SiteA_Run02,Operator1,3,0,1
S00007,VAR1,EGFR,0,0.02825855214985745,1027,SiteA,SiteA_Run03,Operator1,1,0,0
S00008,VAR1,EGFR,0,0.02288736743581575,786,SiteA,SiteA_Run03,Operator2,2,0,0
S00009,VAR1,EGFR,0,0.032264591218106334,1103,SiteA,SiteA_Run03,Operator1,3,0,0
S00010,VAR1,EGFR,0,0.027607876859038667,791,SiteB,SiteB_Run01,Operator1,1,0,1
S00011,VAR1,EGFR,0,0.03210573896985608,996,SiteB,SiteB_Run01,Operator2,2,0,1
S00012,VAR1,EGFR,0,0.02206364355096568,1143,SiteB,SiteB_Run01,Operator1,3,0,1
S00013,VAR1,EGFR,0,0.03185004920939468,592,SiteB,SiteB_Run02,Operator1,1,0,1
S00014,VAR1,EGFR,0,0.03543010239531961,758,SiteB,SiteB_Run02,Operator2,2,0,0
S00015,VAR1,EGFR,0,0.04296468014383423,780,SiteB,SiteB_Run02,Operator1,3,0,0
S00016,VAR1,EGFR,0,0.02830394980642747,895,SiteB,SiteB_Run03,Operator1,1,0,1
S00017,VAR1,EGFR,0,0.03272731530653593,757,SiteB,SiteB_Run03,Operator2,2,0,0
S00018,VAR1,EGFR,0,0.029186601002174947,402,SiteB,SiteB_Run03,Operator1,3,0,0
S00019,VAR1,EGFR,0,0.028336345122604113,434,SiteC,SiteC_Run01,Operator1,1,0,0
S00020,VAR1,EGFR,0,0.0197363153330573,998,SiteC,SiteC_Run01,Operator2,2,0,0
S00021,VAR1,EGFR,0,0.02715704290482109,754,SiteC,SiteC_Run01,Operator1,3,0,0
S00022,VAR1,EGFR,0,0.04886485392063417,533,SiteC,SiteC_Run02,Operator1,1,0,1
S00023,VAR1,EGFR,0,0.029197125550250422,774,SiteC,SiteC_Run02,Operator2,2,0,1
S00024,VAR1,EGFR,0,0.03961139552083618,982,SiteC,SiteC_Run02,Operator1,3,0,0
S00025,VAR1,EGFR,0,0.05029447990341961,1084,SiteC,SiteC_Run03,Operator1,1,0,0
S00026,VAR1,EGFR,0,0.03849527264702394,735,SiteC,SiteC_Run03,Operator2,2,0,0
S00027,VAR1,EGFR,0,0.03806918177877686,761,SiteC,SiteC_Run03,Operator1,3,0,1
S00028,VAR1,EGFR,0.1,0.09170045272433386,536,SiteA,SiteA_Run01,Operator1,1,0,1
S00029,VAR1,EGFR,0.1,0.1592032813560933,869,SiteA,SiteA_Run01,Operator2,2,1,0
S00030,VAR1,EGFR,0.1,0.11105156269303283,704,SiteA,SiteA_Run01,Operator1,3,0,0
S00031,VAR1,EGFR,0.1,0.12142743836452163,868,SiteA,SiteA_Run02,Operator1,1,0,0
S00032,VAR1,EGFR,0.1,0.10783096535505239,906,SiteA,SiteA_Run02,Operator2,2,0,1
S00033,VAR1,EGFR,0.1,0.08193969146050392,955,SiteA,SiteA_Run02,Operator1,3,0,1
S00034,VAR1,EGFR,0.1,0.08873670402934658,709,SiteA,SiteA_Run03,Operator1,1,0,0
S00035,VAR1,EGFR,0.1,0.10336025122400294,876,SiteA,SiteA_Run03,Operator2,2,0,0
S00036,VAR1,EGFR,0.1,0.05567185651841107,542,SiteA,SiteA_Run03,Operator1,3,0,0
S00037,VAR1,EGFR,0.1,0.0844016828743251,682,SiteB,SiteB_Run01,Operator1,1,0,1
S00038,VAR1,EGFR,0.1,0.11731786999537247,672,SiteB,SiteB_Run01,Operator2,2,0,1
S00039,VAR1,EGFR,0.1,0.09420553976464555,438,SiteB,SiteB_Run01,Operator1,3,0,0
S00040,VAR1,EGFR,0.1,0.0944856442819017,805,SiteB,SiteB_Run02,Operator1,1,0,0
S00041,VAR1,EGFR,0.1,0.11899411609601983,831,SiteB,SiteB_Run02,Operator2,2,0,0
